id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
MOGAT1	5.10956022901777	18.1333839537512	3.78251597212428	0.208594048511381	-2.26123009860976	0.0013016073791583	0.0117198881628883
SPAG1	1109.00888590938	460.121395987422	1175.12636684823	2.55394853857297	1.35272945538772	0.0013055403218173	0.0117453842479177
AC092325.1	3.27976581493976	18.6875249488624	1.70981380219562	0.091494930809428	-3.45016437532547	0.00130560329808661	0.0117453842479177
AC099850.3	143.213549272358	22.8545134645361	155.477364462876	6.80291727514278	2.76615354575149	0.00131103658242645	0.0117872549298787
LINC01235	351.6351319906	781.841168210287	307.79989114946	0.393685960351825	-1.34488283093488	0.0013132832582157	0.0118029505573001
AC021739.2	25.9263634895317	80.0567499286395	20.4108236630041	0.254954437710721	-1.97168864530084	0.00131356235260836	0.0118029505573001
ST8SIA2	128.325839294743	342.352396333898	106.517903365596	0.311135264441697	-1.68438617397237	0.00131508220530159	0.011811160985445
AC062004.1	17.5042031765377	48.8812729693248	14.3070806458028	0.292690426756708	-1.77255253566782	0.00131525666724877	0.011811160985445
H2BC18	203.887284100301	33.3529172877845	221.263644289493	6.63401172318233	2.72988156156248	0.0013205547497256	0.0118517047422734
GAL	202.191946929627	36.5889526933396	219.065831824758	5.98721241520081	2.5818844552951	0.00132108522603107	0.011852950547103
DNM1P47	6.82729739090594	21.9565898487564	5.28571934966419	0.240734985991623	-2.05448227111094	0.0013248372998112	0.0118778362185934
CASP4LP	146.17722495253	387.871945714653	121.550080276137	0.313376828664886	-1.67402958516659	0.00132503635046002	0.0118778362185934
YDJC	1084.35638500463	429.099544015651	1151.12286203957	2.68264760029106	1.42365755079531	0.00132716305925832	0.0118933774540523
AC090044.1	4.81157497040307	15.1331599817468	3.75987153822828	0.248452507127615	-2.00895799472875	0.00132997322766218	0.0119131025695568
IL17REL	59.000261348137	7.20685470167247	64.2776778955225	8.91896403580966	3.15687614655852	0.00133015145829999	0.0119131025695568
SLCO1C1	27.2229707326922	86.5908487465562	21.1737640459775	0.244526579338092	-2.03193680437187	0.00133083957652953	0.0119157390841755
PRICKLE2-DT	2.75556263842801	0.130999264726229	3.02298884332278	23.076380234961	4.52834503522134	0.00133151853277687	0.0119171409523347
OBP2B	467.502448414356	136.395598523081	501.240116617885	3.67489949855724	1.87770479555018	0.00133313512617289	0.0119257074559179
RUNX2	1260.42149070472	521.968561789489	1335.66511646434	2.55889954729307	1.35552351374443	0.00133878132363247	0.0119726770676978
MAFTRR	18.2686420969995	56.2392675921675	14.3996784532178	0.256043136223617	-1.96554120976609	0.00134042821973986	0.0119838638741469
LINC00461	28.4217420425939	2.84583999873271	31.0277627197412	10.9028486259095	3.44663321718759	0.0013419251764114	0.0119937039615293
BNIPL	2048.89806963649	979.762832982417	2157.8361054723	2.20240657517473	1.13908082214646	0.00134480993311073	0.0120159382951668
SH3RF2	423.878214627113	919.750167087947	373.352037324972	0.405927664582063	-1.30070542966008	0.00134961422513573	0.012051748390464
PRCD	44.4202204257314	130.179280109149	35.6819212875654	0.274098314706056	-1.86723463710926	0.0013551039424251	0.0120972007697967
COMTD1	606.398585810082	196.587225035892	648.155739793385	3.29703895904247	1.72117093453189	0.00136165683919351	0.0121521146931623
ZNF587	2805.13305602045	1425.04987445539	2945.75469670292	2.06712392984048	1.04762488494459	0.00136667412938916	0.0121932957481439
SOWAHA	533.530381676062	164.013342308306	571.181802278908	3.482532544244	1.80013683486531	0.00137036616089457	0.0122226322213829
DBX2	18.972100054983	60.4818252800093	14.742524806626	0.243751320969124	-2.03651805756177	0.00137940765884963	0.0122996505538498
NEGR1	997.503423275333	1905.07879474348	905.0273033692	0.475060299797764	-1.07381744734305	0.00138184445577902	0.0123177492681121
CAMK2N2	56.7193878482844	7.09266295449304	61.7760333965246	8.70985041766166	3.12264794229707	0.00138304896437375	0.0123248559507782
CARD6	595.261303816883	1263.69364798683	527.152327359529	0.41715199581744	-1.26135494705074	0.0013879067802881	0.0123645048253926
ETV7	400.507898466176	107.005114510564	430.413953098263	4.0223680434992	2.00804509313966	0.00138857958185385	0.0123668581181999
AC073325.1	12.0884367569919	0.94967955778235	13.2234048034398	13.9240701719625	3.79950908470848	0.00139280228550572	0.012391860616425
RHOD	1731.11068694966	817.510646784936	1824.20068202506	2.23140908219261	1.15795502579569	0.00139302480973724	0.012391860616425
AC104984.4	11.3619394738384	0.964403911782888	12.4213817808828	12.8798542074756	3.68704435795617	0.00139452879029932	0.012401594117199
AC105118.1	12.5919081296109	1.0471558601244	13.7682444744729	13.1482284526749	3.71679652370433	0.00139736701499502	0.0124179225012769
COLCA1	223.370313921237	526.534623229524	192.479811710384	0.36555964834715	-1.45182126503385	0.00139759587745264	0.0124179225012769
LINC02593	308.131877822704	70.510115573663	332.344014102363	4.71342319323187	2.23677521909305	0.00139892607225754	0.0124260932564514
TLCD3B	131.463358161965	19.7085978405353	142.850452766403	7.24812865543373	2.85760856367732	0.00140151058732431	0.0124417468184792
BMP3	71.8796463659903	400.546335424893	38.3906149289695	0.0958456276681331	-3.38314356993533	0.00140444018640848	0.012460443670853
CMPK2	1099.42287380585	462.874326512398	1164.28309548679	2.51533305867118	1.33074944189158	0.00140722066262813	0.012481453374301
LINC00659	5.75156188068829	0.422871847895722	6.29452127988176	14.8851745776038	3.89580423690445	0.00140840222240038	0.0124882732072964
AC120498.8	4.70686856416514	0.278959191332624	5.15804418105429	18.4903180870781	4.2086981383803	0.00141150198692973	0.0125084288815386
PDRG1	1850.64055566104	883.479926029049	1949.18803189947	2.20626182267709	1.14160400936258	0.00141379778637223	0.0125251060916226
MIR221	2.90612106317161	9.52576235157297	2.2316219959134	0.234272272764069	-2.09374188039136	0.001414577246303	0.0125283439288462
LCA5	534.565107252226	1123.95417309436	474.510134808437	0.422179254428195	-1.2440724074124	0.00141628515212534	0.0125398003390197
SRARP	1264.42291826465	525.274325316253	1339.7374277355	2.55054809109293	1.35080730329403	0.00141890797256626	0.012559348339799
RNU6-813P	28.9331530985646	2.90054301843037	31.5857094006883	10.889584881172	3.44487705341514	0.00143300655232319	0.0126656183682701
AL138878.2	28.2338997315581	2.97854448798123	30.8072587419496	10.3430581165601	3.37059090310279	0.00143349849929499	0.0126662671778582
AL391807.1	6.05115034014379	18.4783056680676	4.78490277291621	0.258947051686943	-1.94927096252728	0.00144472516287921	0.0127505738128357
PPM1L	1177.59226087068	2233.77279797199	1069.97422598119	0.478998681939632	-1.06190640878347	0.00144564563250491	0.0127549777774041
ADGRG3	43.880573962111	126.726180715538	35.4391370251072	0.279651267204663	-1.83829922715732	0.00144697613203879	0.0127629958274234
HLA-DQA2	1674.94007509217	815.430209759252	1762.51862764638	2.16145858536041	1.11200519373205	0.00145681051954016	0.0128347763472617
EFNA4	1409.44750565392	606.897316910811	1491.22223182883	2.45712444309254	1.29697092602978	0.00146755539328423	0.0129217425827905
LINC01956	92.8590882699186	13.4888366150446	100.946408772174	7.48370016281348	2.90375175763167	0.00147627907362934	0.0129798470671832
CASC16	44.1491002079499	3.06824200578019	48.334976652355	15.7533129920319	3.97758336061421	0.0014776344341201	0.0129804501828089
ZNF366	164.067126257382	455.536328448121	134.368280587812	0.294967211606516	-1.76137350068985	0.00148969664583784	0.0130712350226125
AC004160.1	45.8833142967196	138.941485841323	36.4012823900107	0.261990018097132	-1.93241624921663	0.00150024195285255	0.0131523239337128
IGHG2	15458.6945561251	4377.61615042757	16587.7855027832	3.78922795712983	1.92190393391581	0.00150590375510279	0.0131981365017885
OR1F1	2.77732647708935	0.156104205269963	3.04441224509259	19.5024358237349	4.28558242047034	0.00150665146254854	0.013198590668588
FOXD1	99.8861476115213	13.8978506377502	108.64780456196	7.81759765548521	2.96672533605045	0.00151101753410913	0.0132276319452545
INAVA	656.409965223657	224.445454046198	700.424383404949	3.12068866077715	1.64186443224656	0.00151331222958927	0.013241635028191
SRGAP3-AS2	17.3488632542056	0.638945097857348	19.0514969346992	29.8171110453572	4.89806857777897	0.00151394516455647	0.013241635028191
DIPK1A	938.933997187498	1851.65693143	845.9333735902	0.456852108633807	-1.13020088074511	0.00151436734073189	0.013241635028191
PTPRZ1	420.622313303812	964.812492116157	365.172818077666	0.378490972143945	-1.4016692057688	0.00151729656010859	0.0132564428844046
MISP3	821.247844064834	304.132423092969	873.938594804078	2.87354628591154	1.52283228770377	0.00152129101815147	0.013282986174933
PEMT	1242.95729451299	2358.06719115131	1129.33473516211	0.478923899793848	-1.06213166254227	0.00152232800684952	0.0132882066545391
POU6F2-AS2	2.83484920191238	0.159873684353636	3.10741208151936	19.4366702317679	4.28070918154843	0.00152529012288519	0.0133102234685336
C21orf58	562.572306654695	182.385007589653	601.310958407941	3.29693194827082	1.72112410875369	0.00152624428932127	0.0133147105585845
KRT81	4830.00835952884	975.332268600824	5222.77517492547	5.35486761082751	2.42085090745665	0.00152854407900819	0.0133270900210386
